X,logFunction.csv(x)
0.001,1.4028707283002388E-14
0.101,1.4028707283002388E-14
0.201,1.4028707283002388E-14
0.30100000000000005,1.4028707283002388E-14
0.401,1.4028707283002388E-14
0.501,1.4028707283002456E-14
0.601,1.4028707283002456E-14
0.701,1.4028707283002456E-14
0.8009999999999999,1.4028707283002318E-14
0.9009999999999999,1.4028707283002388E-14
1.001,1.4028707283002388E-14
1.101,1.4028707283002318E-14
1.201,1.4028707283002318E-14
1.3010000000000002,1.4028707283002388E-14
1.4010000000000002,1.4028707283002388E-14
1.5010000000000003,1.4028707283002318E-14
1.6010000000000004,1.4028707283002456E-14
1.7010000000000005,1.4028707283002388E-14
1.8010000000000006,1.4028707283002388E-14
1.9010000000000007,1.4028707283002388E-14
2.001000000000001,1.4028707283002388E-14
2.101000000000001,1.4028707283002388E-14
2.201000000000001,1.4028707283002318E-14
2.301000000000001,1.4028707283002318E-14
2.401000000000001,1.4028707283002456E-14
2.5010000000000012,1.4028707283002388E-14
2.6010000000000013,1.4028707283002388E-14
2.7010000000000014,1.4028707283002456E-14
2.8010000000000015,1.4028707283002388E-14
2.9010000000000016,1.4028707283002318E-14
3.0010000000000017,1.4028707283002456E-14
3.1010000000000018,1.4028707283002388E-14
3.201000000000002,1.4028707283002318E-14
3.301000000000002,1.4028707283002318E-14
3.401000000000002,1.4028707283002388E-14
3.501000000000002,1.4028707283002388E-14
3.601000000000002,1.4028707283002388E-14
3.7010000000000023,1.4028707283002388E-14
3.8010000000000024,1.4028707283002388E-14
3.9010000000000025,1.4028707283002456E-14
4.001000000000002,1.4028707283002318E-14
4.101000000000002,1.4028707283002318E-14
4.201000000000001,1.4028707283002318E-14
4.301000000000001,1.4028707283002456E-14
4.401000000000001,1.4028707283002388E-14
4.501,1.4028707283002456E-14
4.601,1.4028707283002456E-14
4.701,1.4028707283002456E-14
4.800999999999999,1.4028707283002388E-14
4.900999999999999,1.4028707283002318E-14
