X,equationSystem(x)
-5.0,0.8817651913081966
-4.9,0.9482762376605993
-4.800000000000001,0.9885380802415391
-4.700000000000001,0.9997701345525916
-4.600000000000001,0.9811923135254588
-4.500000000000002,0.9340937499844929
-4.400000000000002,0.8617199534061033
-4.3000000000000025,0.7689930684442352
-4.200000000000003,0.6620875903540576
-4.100000000000003,0.5478998852719787
-4.0000000000000036,0.43345864194305844
-3.9000000000000035,0.3253287234019846
-3.8000000000000034,0.229061286790087
-3.7000000000000033,0.14873895866503628
-3.600000000000003,0.08665627495727886
-3.500000000000003,0.04316348077441432
-3.400000000000003,0.016687154618966596
-3.300000000000003,0.0039252971635933345
-3.200000000000003,1.9891226493996554E-4
-3.1000000000000028,-7.189094820231748E-5
-3.0000000000000027,-0.0028103847344573434
-2.9000000000000026,-0.013694689388614482
-2.8000000000000025,-0.03759138559491998
-2.7000000000000024,-0.07806245746580688
-2.6000000000000023,-0.13699019254588815
-2.500000000000002,-0.21435411408787283
-2.400000000000002,-0.3081804194465743
-2.300000000000002,-0.41466896800711917
-2.200000000000002,-0.5284869618429336
-2.100000000000002,-0.6432035492589617
-2.0000000000000018,-0.751826942454839
-1.9000000000000017,-0.8473964674471215
-1.8000000000000016,-0.9235768915518916
-1.7000000000000015,-0.9752024012724256
-1.6000000000000014,-0.998721653167683
-1.5000000000000013,-0.9925039777514709
-1.4000000000000012,-0.9569813234884657
-1.3000000000000012,-0.8946102090835065
-1.200000000000001,-0.8096594352838712
-1.100000000000001,-0.7078419422684656
-1.0000000000000009,-0.5958232362514458
-0.9000000000000009,-0.4806502120873035
-0.8000000000000009,-0.36915127302326695
-0.700000000000001,-0.2673609237641182
-0.600000000000001,-0.18001994741345964
-0.500000000000001,-0.11019540731056054
-0.400000000000001,-0.05905398524015933
-0.30000000000000104,-0.025808427589145738
-0.20000000000000104,-0.00784137974737019
-0.10000000000000103,-9.95010819786167E-4
-1.0269562977782698E-15,-7.006492321624085E-46
0.09999999999999898,1.4028707283002456E-14
0.19999999999999898,1.4028707283002388E-14
0.299999999999999,1.4028707283002456E-14
0.399999999999999,1.4028707283002388E-14
0.499999999999999,1.4028707283002388E-14
0.599999999999999,1.4028707283002388E-14
0.699999999999999,1.4028707283002318E-14
0.7999999999999989,1.4028707283002456E-14
0.8999999999999989,1.4028707283002318E-14
0.9999999999999989,1.4028707283002388E-14
1.099999999999999,1.4028707283002318E-14
1.199999999999999,1.4028707283002456E-14
1.2999999999999992,1.4028707283002388E-14
1.3999999999999992,1.4028707283002456E-14
1.4999999999999993,1.4028707283002388E-14
1.5999999999999994,1.4028707283002388E-14
1.6999999999999995,1.4028707283002388E-14
1.7999999999999996,1.4028707283002318E-14
1.8999999999999997,1.4028707283002388E-14
1.9999999999999998,1.4028707283002388E-14
2.0999999999999996,1.4028707283002388E-14
2.1999999999999997,1.4028707283002456E-14
2.3,1.4028707283002318E-14
2.4,1.4028707283002318E-14
2.5,1.4028707283002456E-14
2.6,1.4028707283002388E-14
2.7,1.4028707283002456E-14
2.8000000000000003,1.4028707283002388E-14
2.9000000000000004,1.4028707283002318E-14
